Gene_names	Kinase	Family	Species
AAK1	AAK1	Other	Human
ABL1	ABL1	TK	Human
ABL2	ABL2	TK	Human
ADCK4	ADCK4	Atypical	Human
ADK	ADK	Metabolic	Human
ALK	ALK	TK	Human
ATM	ATM	Atypical	Human
AURKA	STK6	Other	Human
AURKB	AURKB	Other	Human
AURKC	AURKC	Other	Human
BMP2K	BMP2K	Other	Human
BUB1	BUB1	Other	Human
CAMK2B	KCC2B	CAMK	Human
CAMK2G	KCC2G	CAMK	Human
CAMK4	KCC4	CAMK	Human
CDK1	CDK1	CMGC	Human
CDK12	CDK12	CMGC	Human
CDK16	CDK16	CMGC	Human
CDK19	CDK19	CMGC	Human
CDK2	CDK2	CMGC	Human
CDK7	CDK7	CMGC	Human
CHEK1	CHK1	CAMK	Human
CHEK2	CHK2	CAMK	Human
CHKA	CHKA	Metabolic	Human
CLK1	CLK1	CMGC	Human
CLK2	CLK2	CMGC	Human
CSF1R	CSF1R	TK	Human
CSNK1G2	KC1G2	CK1	Human
CSNK1G3	KC1G3	CK1	Human
CSNK2A2	CSK22	Other	Human
DAPK3	DAPK3	CAMK	Human
DCK	DCK	Metabolic	Human
DDR2	DDR2	TK	Human
EGFR	EGFR	TK	Human
EIF2AK1	E2AK1	Other	Human
EIF2AK2	E2AK2	Other	Human
EPHB3	EPHB3	TK	Human
FER	FER	TK	Human
FN3K	FN3K	Metabolic	Human
FN3KRP	KT3K	Metabolic	Human
IGF1R	IGF1R	TK	Human
IKBKB	IKKB	Other	Human
INSR	INSR	TK	Human
IPMK	IPMK	Metabolic	Human
IRAK1	IRAK1	TKL	Human
IRAK3	IRAK3	TKL	Human
KIT	KIT	TK	Human
LIMK2	LIMK2	TKL	Human
MAP2K2	MP2K2	STE	Human
MAP2K5	MP2K5	STE	Human
MAP2K6	MP2K6	STE	Human
MAP3K11	M3K11	STE	Human
MAP3K2	M3K2	STE	Human
MAP3K4	M3K4	STE	Human
MAP3K5	M3K5	STE	Human
MAP4K3	M4K3	STE	Human
MAP4K5	M4K5	STE	Human
MAPK14	MK14	CMGC	Human
MAPK7	MK07	CMGC	Human
MARK1	MARK1	CAMK	Human
MARK2	MARK2	CAMK	Human
MARK3	MARK3	CAMK	Human
MAST1	MAST1	AGC	Human
MELK	MELK	CAMK	Human
MERTK	MERTK	TK	Human
NEK1	NEK1	NEK	Human
NEK2	NEK2	NEK	Human
NEK3	NEK3	NEK	Human
NEK9	NEK9	NEK	Human
NME4	NDKM	Metabolic	Human
NTRK1	NTRK1	TK	Human
NUAK1	NUAK1	CAMK	Human
PAK7	PAK7	STE	Human
PASK	PASK	CAMK	Human
PDGFRB	PGFRB	TK	Human
PIK3C2A	P3C2A	Atypical	Human
PIK3C3	PK3C3	Metabolic	Human
PIK3R4	PI3R4	Other	Human
PIKFYVE	FYV1	Metabolic	Human
PKMYT1	PMYT1	Other	Human
PKN1	PKN1	AGC	Human
PKN2	PKN2	AGC	Human
PLK1	PLK1	Other	Human
PLK4	PLK4	Other	Human
PNCK	KCC1B	CAMK	Human
PRKACB	KAPCB	AGC	Human
PRKCA	KPCA	AGC	Human
PRKD2	KPCD2	CAMK	Human
PRKD3	KPCD3	CAMK	Human
PRKDC	PRKDC	Atypical	Human
PTK2	FAK1	TK	Human
PTK2B	FAK2	TK	Human
RET	RET	TK	Human
RIPK2	RIPK2	TKL	Human
ROCK2	ROCK2	AGC	Human
RPS6KA1	KS6A1	AGC	Human
RPS6KA2	KS6A2	AGC	Human
RPS6KA3	KS6A3	AGC	Human
RPS6KA5	KS6A5	AGC	Human
RPS6KA6	KS6A6	AGC	Human
SIK2	SIK2	CAMK	Human
SLK	SLK	STE	Human
SRC	SRC	TK	Human
SRPK1	SRPK1	CMGC	Human
STK10	STK10	STE	Human
STK16	STK16	Other	Human
STK32C	ST32C	Other	Human
STRADA	STRAA	STE	Human
TGFBR1	TGFR1	TKL	Human
TLK1	TLK1	Other	Human
TNK2	ACK1	TK	Human
TP53RK	PRPK	Other	Human
TTK	TTK	Other	Human
TYK2	TYK2	TK	Human
ULK1	ULK1	Other	Human
WEE1	WEE1	Other	Human
